"subregion","region","pop","income","ipaddr","ufo2010"
"abbeville","south carolina",25101,34670,30330,2
"acadia","louisiana",61912,37970,38203,6
"accomack","virginia",33341,41595,41338,2
"ada","idaho",409061,55304,1035427,59
"adair","iowa",7481,47623,3762,0
"adair","kentucky",18675,31775,14303,1
"adair","missouri",25581,33157,75347,1
"adair","oklahoma",22286,31038,4543,0
"adams","colorado",459598,56089,3206226,115
"adams","idaho",3915,36845,1916,0
"adams","illinois",67197,45792,50969,0
"adams","indiana",34365,46549,30418,0
"adams","iowa",3911,44389,2678,0
"adams","mississippi",32122,26784,12892,0
"adams","nebraska",31459,47469,27319,0
"adams","north dakota",2311,40236,637,0
"adams","ohio",28350,34232,7657,6
"adams","pennsylvania",101482,57097,100026,4
"adams","washington",19005,41219,12294,2
"adams","wisconsin",20679,41152,19004,7
"addison","vermont",36745,57203,86406,2
"aiken","south carolina",162812,43999,131261,9
"aitkin","minnesota",15927,41301,8493,2
"alachua","florida",251417,41373,413659,29
"alamance","north carolina",153920,44430,240090,10
"alameda","california",1554720,70821,5394949,169
"alamosa","colorado",16148,38299,15963,1
"albany","new york",305455,57715,1655552,40
"albany","wyoming",37276,45760,102104,16
"albemarle","virginia",102251,65934,329865,15
"alcona","michigan",10635,35490,2296,3
"alcorn","mississippi",37164,32221,17397,0
"alexander","illinois",7748,27727,636,0
"alexander","north carolina",36853,40658,9693,0
"alfalfa","oklahoma",5666,42730,2807,1
"alger","michigan",9541,38231,10594,1
"allamakee","iowa",14237,47096,7410,0
"allegan","michigan",112039,51232,112279,22
"allegany","maryland",74012,39408,6186,4
"allegany","new york",48357,41900,160094,5
"alleghany","north carolina",10927,32478,6114,0
"alleghany","virginia",16230,44329,11724,4
"allegheny","pennsylvania",1229338,49805,3764776,70
"allen","indiana",360412,49767,479007,25
"allen","kansas",13319,40275,26075,2
"allen","kentucky",20210,35357,5609,0
"allen","louisiana",25539,39007,5742,1
"allen","ohio",105141,43323,68896,7
"allendale","south carolina",9988,22982,1336,0
"alpena","michigan",29234,38081,15898,1
"alpine","california",1129,59018,644,0
"amador","california",37035,56180,15510,1
"amelia","virginia",12759,51540,7121,0
"amherst","virginia",32384,44383,19526,9
"amite","mississippi",12957,31402,1927,0
"anderson","kansas",7917,40753,3190,0
"anderson","kentucky",21728,52447,10148,1
"anderson","south carolina",189355,42854,181578,6
"anderson","tennessee",75416,44872,324808,9
"anderson","texas",58190,40577,41981,0
"andrew","missouri",17417,54148,4710,1
"andrews","texas",16117,51598,8184,2
"androscoggin","maine",107609,45699,147043,23
"angelina","texas",87597,39325,40444,4
"anne arundel","maryland",550488,85690,891594,33
"anoka","minnesota",336414,69139,302309,11
