state,population,internet
Alabama,4758191,3092273
Arizona,6665093,5230474
Arkansas,2919815,1949869
California,37350092,29758896
Colorado,5077553,4058749
Connecticut,3555261,3074229
Delaware,894424,719500
District of Columbia,605959,463503
Florida,18732783,14764418
Georgia,9932505,7597608
Idaho,1562046,1284500
Illinois,13046084,10243294
Indiana,6490613,4770355
Iowa,3039465,2354728
Kansas,2848369,2248721
Kentucky,4359450,2997542
Louisiana,4539283,3071973
Maine,1332155,1102933
Maryland,5759373,4737650
Massachusetts,6662878,5745853
Michigan,10074498,7899843
Minnesota,5321556,4370006
Mississippi,2983018,1769430
Missouri,6050503,4380156
Montana,985235,725139
Nebraska,1815500,1455917
Nevada,2670861,2137074
New Hampshire,1338495,1205558
New Jersey,8799248,7728426
New Mexico,2030790,1380358
New York,19746813,16091772
North Carolina,9479467,6809315
North Dakota,653642,496207
Ohio,11663946,8949773
Oklahoma,3725797,2530656
Oregon,3865861,3327971
Pennsylvania,12737230,9909482
Rhode Island,1064277,861596
South Carolina,4609176,3086634
South Dakota,820920,598832
Tennessee,6362421,4638409
Texas,25042738,17176661
Utah,2813835,2465247
Vermont,628294,513123
Virginia,7965428,6193567
Washington,6734229,5772919
West Virginia,1838901,1296905
Wisconsin,5714200,4744417
Wyoming,549990,436437
