"seq","dh.seq","day","hour","bytes"
1,1,"1","0100",1874077088
2,1,"1","0105",2291303974
3,1,"1","0110",1508670879
4,1,"1","0115",2783361281
5,1,"1","0120",2065099612
6,1,"1","0125",2531860232
7,1,"1","0130",2005869039
8,1,"1","0135",2570664254
9,1,"1","0140",1813485146
10,1,"1","0145",2722314616
11,1,"1","0150",3090244305
12,1,"1","0155",1952756577
13,2,"1","0200",1605309948
14,2,"1","0205",2772534968
15,2,"1","0210",2153826831
16,2,"1","0215",1859075458
17,2,"1","0220",2696090395
18,2,"1","0225",3081645213
19,2,"1","0230",2161252870
20,2,"1","0235",1440052529
21,2,"1","0240",2583095777
22,2,"1","0245",1939264744
23,2,"1","0250",2585852237
24,2,"1","0255",2760234689
25,3,"1","0300",1645047444
26,3,"1","0305",2813121381
27,3,"1","0310",2113782668
28,3,"1","0315",2540130413
29,3,"1","0320",2457988637
30,3,"1","0325",2930405638
31,3,"1","0330",1925446622
32,3,"1","0335",2351465621
33,3,"1","0340",1952854532
34,3,"1","0345",2734406072
35,3,"1","0350",2686582089
36,3,"1","0355",2351564553
37,4,"1","0400",2363670287
38,4,"1","0405",2813788424
39,4,"1","0410",2021395486
40,4,"1","0415",2327580281
41,4,"1","0420",2440992121
42,4,"1","0425",2819079638
43,4,"1","0430",2255560739
44,4,"1","0435",3115004409
45,4,"1","0440",2439146026
46,4,"1","0445",2698396412
47,4,"1","0450",2726163282
48,4,"1","0455",1821426792
49,5,"1","0500",2976848424
50,5,"1","0505",3630469028
51,5,"1","0510",2716937711
52,5,"1","0515",2539185584
53,5,"1","0520",1730146435
54,5,"1","0525",3287627920
55,5,"1","0530",2183714732
56,5,"1","0535",3710557723
57,5,"1","0540",1755011425
58,5,"1","0545",1610642824
59,5,"1","0550",3642112346
60,5,"1","0555",3287290303
61,6,"1","0600",2587069537
62,6,"1","0605",4220503423
63,6,"1","0610",2406160189
64,6,"1","0615",3567817084
65,6,"1","0620",1120441855
66,6,"1","0625",3144988280
67,6,"1","0630",2642922593
68,6,"1","0635",4018930463
69,6,"1","0640",2833539936
70,6,"1","0645",3902265055
71,6,"1","0650",2677880162
72,6,"1","0655",3601262860
73,7,"1","0700",2581060198
74,7,"1","0705",2703970277
75,7,"1","0710",2364199602
76,7,"1","0715",3952186867
77,7,"1","0720",2503379705
78,7,"1","0725",3511625917
79,7,"1","0730",2944389161
80,7,"1","0735",4168611686
81,7,"1","0740",3789668777
82,7,"1","0745",3602068751
83,7,"1","0750",5582832321
84,7,"1","0755",3442093342
85,8,"1","0800",3725657206
86,8,"1","0805",4182197209
87,8,"1","0810",2494104572
88,8,"1","0815",3310805794
89,8,"1","0820",3884830786
90,8,"1","0825",4439651006
91,8,"1","0830",4149711048
92,8,"1","0835",6129212347
93,8,"1","0840",3751151897
94,8,"1","0845",3741610696
95,8,"1","0850",5162073168
96,8,"1","0855",3763897011
97,9,"1","0900",2548050931
98,9,"1","0905",4445352418
99,9,"1","0910",4512038491
100,9,"1","0915",3932763995
101,9,"1","0920",4677012191
102,9,"1","0925",4109015314
103,9,"1","0930",3909966532
104,9,"1","0935",5745754807
105,9,"1","0940",4181894013
106,9,"1","0945",4745624284
107,9,"1","0950",3927789443
108,9,"1","0955",4044324115
109,10,"1","1000",2988582626
110,10,"1","1005",2949309569
111,10,"1","1010",4558963243
112,10,"1","1015",3242448678
113,10,"1","1020",4294651483
114,10,"1","1025",4355540663
115,10,"1","1030",3176715149
116,10,"1","1035",5503498000
117,10,"1","1040",5520445024
118,10,"1","1045",4867351090
119,10,"1","1050",3503269422
120,10,"1","1055",4844783286
121,11,"1","1100",2793404131
122,11,"1","1105",4453483417
123,11,"1","1110",4462160031
124,11,"1","1115",3639347646
125,11,"1","1120",3673011168
126,11,"1","1125",3200828930
127,11,"1","1130",3178764632
128,11,"1","1135",4872279332
129,11,"1","1140",2440325320
130,11,"1","1145",5448984989
131,11,"1","1150",3125609653
132,11,"1","1155",4435009445
133,12,"1","1200",3241348870
134,12,"1","1205",3965896642
135,12,"1","1210",5167839385
136,12,"1","1215",3080421117
137,12,"1","1220",3842253395
138,12,"1","1225",4217618514
139,12,"1","1230",3142882549
140,12,"1","1235",5602392074
141,12,"1","1240",3194517311
142,12,"1","1245",3877190873
143,12,"1","1250",3019998265
144,12,"1","1255",3978201943
145,13,"1","1300",4673043777
146,13,"1","1305",5815014567
147,13,"1","1310",4558140212
148,13,"1","1315",3478790717
149,13,"1","1320",3107255571
150,13,"1","1325",4380188673
151,13,"1","1330",3862436278
152,13,"1","1335",3925198610
153,13,"1","1340",3750501328
154,13,"1","1345",3516002261
155,13,"1","1350",4547432746
156,13,"1","1355",4374878904
157,14,"1","1400",3530784022
158,14,"1","1405",3066441423
159,14,"1","1410",3616979918
160,14,"1","1415",4383961927
161,14,"1","1420",3528457444
162,14,"1","1425",4584806381
163,14,"1","1430",3020066668
164,14,"1","1435",4617883679
165,14,"1","1440",3408406727
166,14,"1","1445",4384352745
167,14,"1","1450",5628120663
168,14,"1","1455",4020790730
169,15,"1","1500",3304942425
170,15,"1","1505",4407216290
171,15,"1","1510",4163158309
172,15,"1","1515",4400213204
173,15,"1","1520",3637537789
174,15,"1","1525",3853219031
175,15,"1","1530",3003225021
176,15,"1","1535",4515568023
177,15,"1","1540",4136793822
178,15,"1","1545",5363191339
179,15,"1","1550",4921094676
180,15,"1","1555",3481620991
181,16,"1","1600",4561048726
182,16,"1","1605",3711737944
183,16,"1","1610",4227594040
184,16,"1","1615",3732071645
185,16,"1","1620",3404138533
186,16,"1","1625",4177866402
187,16,"1","1630",4089417347
188,16,"1","1635",4429125419
189,16,"1","1640",2325232280
190,16,"1","1645",3981695035
191,16,"1","1650",5983032828
192,16,"1","1655",3705898169
193,17,"1","1700",2304420466
194,17,"1","1705",3595927864
195,17,"1","1710",3851775266
196,17,"1","1715",1808565182
197,17,"1","1720",3625312617
198,17,"1","1725",3090281704
199,17,"1","1730",2814088619
200,17,"1","1735",2782270892
201,17,"1","1740",3120706482
202,17,"1","1745",3106115570
203,17,"1","1750",3570537695
204,17,"1","1755",2839613589
205,18,"1","1800",2271555919
206,18,"1","1805",2494585673
207,18,"1","1810",1694892582
208,18,"1","1815",2580347270
209,18,"1","1820",1499581728
210,18,"1","1825",2592129975
211,18,"1","1830",2060857215
212,18,"1","1835",2112430347
213,18,"1","1840",2697600945
214,18,"1","1845",2298203691
215,18,"1","1850",2500357111
