entry,hour,packets,bytes,sessions,type
2,1300,197,141046,1,Printer
3,1300,33160,11155678,2627,Server
4,1300,4001,561379,1002,Network
5,1300,12524003,7150036444,275220,Workstation
7,1305,0,0,0,Printer
8,1305,33451,14010428,2604,Server
9,1305,3904,555343,1023,Network
10,1305,16426797,10036498011,316392,Workstation
12,1310,0,0,0,Printer
13,1310,36362,14499507,2634,Server
14,1310,4603,633653,1103,Network
15,1310,15397892,9558818402,333306,Workstation
17,1315,9,424,1,Printer
18,1315,185820,148609682,2580,Server
19,1315,4473,573807,1126,Network
20,1315,15043029,9155975477,322674,Workstation
22,1320,1966,1415739,7,Printer
23,1320,30116,11840273,2153,Server
24,1320,3902,505871,1154,Network
25,1320,12387090,7683218311,358379,Workstation
27,1325,0,0,0,Printer
28,1325,35629,15880816,2340,Server
29,1325,4394,604570,1115,Network
30,1325,14494865,8405967275,352977,Workstation
32,1330,0,0,0,Printer
33,1330,45883,26353562,2412,Server
34,1330,3784,528984,1110,Network
35,1330,13571272,8680593098,379926,Workstation
37,1335,0,0,0,Printer
38,1335,35279,12367692,2341,Server
39,1335,4545,595005,1064,Network
40,1335,18733296,11959884491,383383,Workstation
42,1340,972,725551,1,Printer
43,1340,28483,9678634,2508,Server
44,1340,3534,491404,1059,Network
45,1340,20827442,13001903449,385396,Workstation
47,1345,0,0,0,Printer
48,1345,41342,19051671,2678,Server
49,1345,9079,1550553,1015,Network
50,1345,15121545,9936282782,321796,Workstation
52,1350,0,0,0,Printer
53,1350,40805,13781368,2560,Server
54,1350,3668,448825,1005,Network
55,1350,13321355,7954376508,291136,Workstation
57,1355,13,782,1,Printer
58,1355,34559,13669665,2264,Server
59,1355,3597,465038,995,Network
60,1355,14714372,8419782828,303743,Workstation
62,1400,4,306,2,Printer
63,1400,33940,11837298,2155,Server
64,1400,3231,432499,859,Network
65,1400,11855624,7962548333,262770,Workstation
67,1405,0,0,0,Printer
68,1405,26718,7113525,2125,Server
69,1405,3938,500388,1050,Network
70,1405,14693555,9517992349,307402,Workstation
72,1410,0,0,0,Printer
73,1410,48825,24811960,2033,Server
74,1410,3951,510764,1066,Network
75,1410,11958706,7364818308,312970,Workstation
77,1415,0,0,0,Printer
78,1415,23923,7217842,1999,Server
79,1415,3559,445721,1038,Network
80,1415,15831717,8886578136,332656,Workstation
82,1420,0,0,0,Printer
83,1420,37816,17991400,2017,Server
84,1420,3408,381084,1044,Network
85,1420,13249880,8388484735,334978,Workstation
87,1425,0,0,0,Printer
88,1425,96789,89196500,1937,Server
89,1425,3374,438781,1023,Network
90,1425,24445503,11676946400,351574,Workstation
92,1430,0,0,0,Printer
93,1430,44042,31894791,1836,Server
94,1430,3405,417364,989,Network
95,1430,13441650,8712609151,373736,Workstation
97,1435,0,0,0,Printer
98,1435,22519,6678156,2004,Server
99,1435,3625,407926,982,Network
100,1435,14854979,9562927940,348390,Workstation
102,1440,0,0,0,Printer
103,1440,24034,7291990,2327,Server
104,1440,3591,442258,1025,Network
105,1440,14019594,8665136060,394765,Workstation
107,1445,0,0,0,Printer
108,1445,59684,16199527,2174,Server
109,1445,4194,525892,1042,Network
110,1445,13980670,8940515600,345927,Workstation
112,1450,0,0,0,Printer
113,1450,25662,6906676,2396,Server
114,1450,3463,425560,1059,Network
115,1450,18581917,11787412870,382782,Workstation
117,1455,0,0,0,Printer
118,1455,35991,20049103,2145,Server
119,1455,7811,698189,1108,Network
120,1455,17327360,11350376901,359526,Workstation
122,1500,0,0,0,Printer
123,1500,35818,12808834,1954,Server
124,1500,3988,467290,897,Network
125,1500,12604901,8120851831,297917,Workstation
127,1505,0,0,0,Printer
128,1505,29128,14456775,1806,Server
129,1505,7164,1178812,1000,Network
130,1505,14913152,9396534952,350311,Workstation
132,1510,0,0,0,Printer
133,1510,16555,5643152,1441,Server
134,1510,2719,309875,941,Network
135,1510,15482801,9728274145,368058,Workstation
137,1515,1663,738197,259,Printer
138,1515,168617,63628792,2200,Server
139,1515,3614,444172,1036,Network
140,1515,13369200,8456400956,363185,Workstation
142,1520,682,59935,341,Printer
143,1520,159329,136793064,2160,Server
144,1520,3017,361155,999,Network
145,1520,21021628,14088717276,367154,Workstation
147,1525,0,0,0,Printer
148,1525,23418,10049875,1638,Server
149,1525,3248,398321,1005,Network
150,1525,15621864,10043200250,367683,Workstation
152,1530,7,1074,1,Printer
153,1530,26556,12789707,1731,Server
154,1530,8220,1405702,937,Network
155,1530,15211728,9675389541,371805,Workstation
157,1535,0,0,0,Printer
158,1535,21000,8641233,1853,Server
159,1535,3069,383634,919,Network
160,1535,25744566,15831536864,380300,Workstation
162,1540,0,0,0,Printer
163,1540,426184,134790911,2274,Server
164,1540,9278,1625772,927,Network
165,1540,14287613,8273545279,402277,Workstation
167,1545,0,0,0,Printer
168,1545,565982,541783674,2450,Server
169,1545,3626,438504,1068,Network
170,1545,23796987,15222247652,368522,Workstation
172,1550,0,0,0,Printer
173,1550,375739,358654764,2499,Server
174,1550,8841,1532904,1019,Network
175,1550,17623327,10681704224,361594,Workstation
177,1555,0,0,0,Printer
178,1555,60958,48386009,2446,Server
179,1555,5182,514580,1001,Network
180,1555,21264439,12883410865,356291,Workstation
182,1600,0,0,0,Printer
183,1600,25663,13309866,1684,Server
184,1600,2659,310054,860,Network
185,1600,13817787,8450704309,312172,Workstation
187,1605,0,0,0,Printer
188,1605,30547,17455268,1755,Server
189,1605,10127,802053,969,Network
190,1605,18071200,12503239500,363376,Workstation
192,1610,199,141408,1,Printer
193,1610,111800,17334058,1497,Server
194,1610,2969,350842,961,Network
195,1610,15325616,9433005765,380741,Workstation
197,1615,0,0,0,Printer
198,1615,19529,5681981,1936,Server
199,1615,9082,1505012,1002,Network
200,1615,19426675,13454214546,380227,Workstation
202,1620,0,0,0,Printer
203,1620,21567,10794042,1554,Server
204,1620,2579,291220,945,Network
205,1620,13910807,8512075176,403819,Workstation
207,1625,0,0,0,Printer
208,1625,16375,5766210,1427,Server
