Level,Business Unit,Campus Identifier,Years Employed,Does our company have a security team?,Does our company have a security team?,"Do you know who to contact in case you are hacked, lost customer data, or if your computer is infected? ","Do you know who to contact in case you are hacked, lost customer data, or if your computer is infected? ",Have you ever found a virus or Trojan on your computer at work?,Have you ever found a virus or Trojan on your computer at work?,Do you know how to tell if your computer is hacked or infected?,Do you know how to tell if your computer is hacked or infected?,Have you ever given out your work password to anyone?,Have you ever given out your work password to anyone?,"If you delete files from your computer or even format your hard drive, all the information is permanently lost. ","If you delete files from your computer or even format your hard drive, all the information is permanently lost. ",How secure do you feel your computer is?,How secure do you feel your computer is?,The responsibility of protecting our organization's devices or information rests solely with the security team.,The responsibility of protecting our organization's devices or information rests solely with the security team.,Is your computer or mobile device configured to be automatically updated?,Is your computer or mobile device configured to be automatically updated?,How careful are you when you open an attachment in an email?,How careful are you when you open an attachment in an email?,We receive insufficient training on how to protect our computers and organization information.,We receive insufficient training on how to protect our computers and organization information.,Do you know what an email or phishing scam is and how to identify one?,Do you know what an email or phishing scam is and how to identify one?,"Is anti-virus currently installed, updated, and enabled on your computer?","Is anti-virus currently installed, updated, and enabled on your computer?","My computer or information has no value to hackers, they do not target me.","My computer or information has no value to hackers, they do not target me.",Do we have any policies on which websites you can visit?,Do we have any policies on which websites you can visit?,Do we have policies on how you can and cannot use email?,Do we have policies on how you can and cannot use email?,Are Cloud services such as iCloud or Dropbox allowed in our organization or used to store organizational data?,Are Cloud services such as iCloud or Dropbox allowed in our organization or used to store organizational data?,"Can you use your own personal devices, such as your mobile phone, to store or transfer confidential company information?","Can you use your own personal devices, such as your mobile phone, to store or transfer confidential company information?",Have you downloaded and installed software for personal use on your computer at work?,Have you downloaded and installed software for personal use on your computer at work?,Has your manager or anyone else you know at work asked for your password?,Has your manager or anyone else you know at work asked for your password?,"Do you use the same passwords for your work accounts as you do for your personal accounts at home, such as Facebook, Twitter, iTunes, or your personal email accounts?","Do you use the same passwords for your work accounts as you do for your personal accounts at home, such as Facebook, Twitter, iTunes, or your personal email accounts?",How often do you copy data from the office and transfer it to your personal computer to work on at home?,How often do you copy data from the office and transfer it to your personal computer to work on at home?,"Have you logged into work accounts on public computers, such as computers from a library, cyber cafe, or hotel lobby?","Have you logged into work accounts on public computers, such as computers from a library, cyber cafe, or hotel lobby?","If you have anti-virus installed on your computer, then your computer cannot become infected as the anti-virus program will stop all viruses, worms, or Trojans. ","If you have anti-virus installed on your computer, then your computer cannot become infected as the anti-virus program will stop all viruses, worms, or Trojans. "
Individual Contributor,Capital,Canada,2,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Strongly Disagree,1,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,No,1,No,1,No,1,No,1,No,1,Never,1,No,1,FALSE,1
Individual Contributor,Energy,Canada,15,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Strongly Disagree,1,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,No,1,No,1,No,1,No,1,No,1,Never,1,No,1,FALSE,1
Individual Contributor,Energy,Canada,26,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Disagree,2,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,No,1,No,1,No,1,No,1,No,1,Never,1,No,1,FALSE,1
Individual Contributor,Energy,Canada,7,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Strongly Disagree,1,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,No,1,"Yes, if part of BYOD",2,No,1,No,1,No,1,Never,1,No,1,FALSE,1
Individual Contributor,Energy,Southwest,22,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Disagree,2,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,No,1,No,1,No,1,No,1,No,1,Never,1,No,1,FALSE,1
Individual Contributor,Energy,Canada,8,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Strongly Disagree,1,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,No,1,"Yes, if part of BYOD",2,No,1,No,1,No,1,Never,1,No,1,FALSE,1
Individual Contributor,Energy,Canada,14,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Strongly Disagree,1,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,I don't know,2,No,1,No,1,No,1,No,1,Never,1,No,1,FALSE,1
Individual Contributor,Infrastructure,Midwest,13,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Strongly Disagree,1,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,No,1,"Yes, if part of BYOD",2,No,1,No,1,No,1,Never,1,No,1,FALSE,1
Individual Contributor,Infrastructure,Northeast,2,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Disagree,2,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,No,1,No,1,No,1,No,1,No,1,Never,1,No,1,FALSE,1
Individual Contributor,Capital,Southwest,21,Yes,1,Yes,1,No,2,Yes,1,No,1,FALSE,1,Secure,1,Strongly Disagree,1,Yes,1,Extremely careful,1,Disagree,2,Yes,1,Yes,1,FALSE,1,Yes,1,Yes,1,No,1,No,1,No,1,No,1,No,1,Never,1,No,1,FALSE,1
